base_user,imp_user,direction,mode,modality,fusion,k,threshold,tau_eer,tn,fp,fn,tp,accuracy,precision,recall,f1,frr,far,eer
user12,user10,user12->user10,unimodal_all,,,,0.9872605800628662,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user11,user12->user11,unimodal_all,,,,0.9872065782546997,0.45044922828674316,10,0,30,0,0.25,0.0,0.0,0.0,0.0,1.0,0.0
user12,user2,user12->user2,unimodal_all,,,,0.9872348308563232,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user3,user12->user3,unimodal_all,,,,0.9873340725898743,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user4,user12->user4,unimodal_all,,,,0.9873100519180298,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user5,user12->user5,unimodal_all,,,,0.9873746037483215,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user6,user12->user6,unimodal_all,,,,0.9873532056808472,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user7,user12->user7,unimodal_all,,,,0.9872170686721802,0.8257213234901428,10,0,25,5,0.375,1.0,0.16666666666666666,0.2857142857142857,0.0,0.8333333333333334,0.0
user12,user8,user12->user8,unimodal_all,,,,0.9873613119125366,0.8071237206459045,10,0,21,9,0.475,1.0,0.3,0.4615384615384615,0.0,0.7,0.0
user12,user9,user12->user9,unimodal_all,,,,0.9872359037399292,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user1,user2->user1,unimodal_all,,,,0.9885733127593994,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user10,user2->user10,unimodal_all,,,,0.9887884855270386,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user11,user2->user11,unimodal_all,,,,0.9885716438293457,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user12,user2->user12,unimodal_all,,,,0.9885529279708862,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user3,user2->user3,unimodal_all,,,,0.9887280464172363,0.45860669016838074,10,0,29,1,0.275,1.0,0.03333333333333333,0.06451612903225806,0.0,0.9666666666666667,0.19999999999999998
user2,user4,user2->user4,unimodal_all,,,,0.988601565361023,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user5,user2->user5,unimodal_all,,,,0.9883013367652893,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user6,user2->user6,unimodal_all,,,,0.9886224865913391,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user7,user2->user7,unimodal_all,,,,0.988627016544342,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user8,user2->user8,unimodal_all,,,,0.9882173538208008,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user9,user2->user9,unimodal_all,,,,0.9886139035224915,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user1,user3->user1,unimodal_all,,,,0.7689293026924133,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
