base_user,imp_user,direction,mode,modality,fusion,k,threshold,tau_eer,tn,fp,fn,tp,accuracy,precision,recall,f1,frr,far,eer
user12,user1,user12->user1,multimodal,,mean,,0.7052251696586609,0.6021888256072998,10,0,20,10,0.5,1.0,0.3333333333333333,0.5,0.0,0.6666666666666666,0.18333333333333332
user12,user10,user12->user10,multimodal,,mean,,0.7104415893554688,0.9723100066184998,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user11,user12->user11,multimodal,,max,,0.9954271912574768,0.9052989482879639,10,0,11,19,0.725,1.0,0.6333333333333333,0.7755102040816326,0.0,0.36666666666666664,0.05
user12,user2,user12->user2,multimodal,,mean,,0.7173712253570557,0.8860471248626709,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user3,user12->user3,multimodal,,mean,,0.6962401866912842,0.8845847249031067,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user4,user12->user4,multimodal,,mean,,0.7093634009361267,0.9958159327507019,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user5,user12->user5,multimodal,,mean,,0.7062115669250488,0.9672422409057617,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user12,user6,user12->user6,multimodal,,mean,,0.6949701309204102,0.9521520137786865,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user7,user12->user7,multimodal,,mean,,0.7169679403305054,0.7958804965019226,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user8,user12->user8,multimodal,,mean,,0.7141211628913879,0.9066603779792786,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user9,user12->user9,multimodal,,mean,,0.6894528269767761,0.9650803804397583,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user1,user2->user1,multimodal,,mean,,0.7027776837348938,0.9999961853027344,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user2,user10,user2->user10,multimodal,,mean,,0.7580356597900391,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user11,user2->user11,multimodal,,mean,,0.7420452833175659,0.9999997615814209,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user12,user2->user12,multimodal,,mean,,0.7445694208145142,0.9999998807907104,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user3,user2->user3,multimodal,,mean,,0.7698191404342651,0.6026113033294678,10,0,28,2,0.3,1.0,0.06666666666666667,0.125,0.0,0.9333333333333333,0.4
user2,user4,user2->user4,multimodal,,mean,,0.7289235591888428,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user2,user5,user2->user5,multimodal,,mean,,0.7492263913154602,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user6,user2->user6,multimodal,,mean,,0.7231534123420715,0.9887520670890808,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user2,user7,user2->user7,multimodal,,mean,,0.7001394033432007,0.9567471742630005,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user8,user2->user8,multimodal,,mean,,0.6729559302330017,0.8336548805236816,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user9,user2->user9,multimodal,,mean,,0.761397659778595,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user1,user3->user1,multimodal,,mean,,0.6241275668144226,0.9999973773956299,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
