base_user,imp_user,direction,mode,fusion,k,threshold,tau_eer,tn,fp,fn,tp,accuracy,precision,recall,f1,frr,far,eer
user12,user11,user12->user11,unimodal,,,0.988922119140625,0.4458388686180115,10,0,30,0,0.25,0.0,0.0,0.0,0.0,1.0,0.0
user12,user2,user12->user2,unimodal,,,0.988922119140625,0.9999290704727173,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user3,user12->user3,unimodal,,,0.988922119140625,0.9997912049293518,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user4,user12->user4,unimodal,,,0.988922119140625,0.999915599822998,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user5,user12->user5,unimodal,,,0.988922119140625,0.9999880790710449,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user6,user12->user6,unimodal,,,0.988922119140625,0.9999959468841553,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user12,user7,user12->user7,unimodal,,,0.988922119140625,0.7590369582176208,10,0,27,3,0.325,1.0,0.1,0.18181818181818182,0.0,0.9,0.0
user12,user8,user12->user8,unimodal,,,0.988922119140625,0.7250984907150269,10,0,21,9,0.475,1.0,0.3,0.4615384615384615,0.0,0.7,0.0
user12,user9,user12->user9,unimodal,,,0.988922119140625,0.9999889135360718,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user1,user2->user1,unimodal,,,0.9790637493133545,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user10,user2->user10,unimodal,,,0.9790637493133545,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user11,user2->user11,unimodal,,,0.9790637493133545,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user12,user2->user12,unimodal,,,0.9790637493133545,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user3,user2->user3,unimodal,,,0.9790637493133545,0.47037196159362793,10,0,26,4,0.35,1.0,0.13333333333333333,0.23529411764705882,0.0,0.8666666666666667,0.2833333333333333
user2,user4,user2->user4,unimodal,,,0.9790637493133545,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user5,user2->user5,unimodal,,,0.9790637493133545,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user6,user2->user6,unimodal,,,0.9790637493133545,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user7,user2->user7,unimodal,,,0.9790637493133545,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user8,user2->user8,unimodal,,,0.9790637493133545,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user2,user9,user2->user9,unimodal,,,0.9790637493133545,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user1,user3->user1,unimodal,,,0.7630786299705505,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user10,user3->user10,unimodal,,,0.7630786299705505,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user11,user3->user11,unimodal,,,0.7630786299705505,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user12,user3->user12,unimodal,,,0.7630786299705505,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user2,user3->user2,unimodal,,,0.7630786299705505,0.4631477892398834,10,0,28,2,0.3,1.0,0.06666666666666667,0.125,0.0,0.9333333333333333,0.5
user3,user4,user3->user4,unimodal,,,0.7630786299705505,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user5,user3->user5,unimodal,,,0.7630786299705505,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user6,user3->user6,unimodal,,,0.7630786299705505,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user7,user3->user7,unimodal,,,0.7630786299705505,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user8,user3->user8,unimodal,,,0.7630786299705505,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user3,user9,user3->user9,unimodal,,,0.7630786299705505,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user4,user1,user4->user1,unimodal,,,0.8883377313613892,0.9999485015869141,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user4,user10,user4->user10,unimodal,,,0.8883377313613892,0.5071926712989807,10,0,30,0,0.25,0.0,0.0,0.0,0.0,1.0,0.0
user4,user11,user4->user11,unimodal,,,0.8883377313613892,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
